PSGC_BRGY,elem_both_age,elem_mal_age,elem_fem_age,jhs_both_age,jhs_fem_age,jhs_mal_age,shs_both_age,shs_fem_age,shs_mal_age,col_both_age,col_fem_age,col_mal_age
PH150702001,90.0,43.0,47.0,40.0,17.0,23.0,23.0,8.0,15.0,55.0,26.0,29.0
PH150702002,175.0,85.0,90.0,109.0,55.0,54.0,50.0,27.0,23.0,113.0,55.0,58.0
PH150702004,84.0,45.0,39.0,62.0,31.0,31.0,27.0,16.0,11.0,37.0,24.0,13.0
PH150702005,351.0,189.0,162.0,201.0,104.0,97.0,93.0,46.0,47.0,202.0,104.0,98.0
PH150702006,467.0,272.0,195.0,287.0,138.0,149.0,129.0,60.0,69.0,230.0,109.0,121.0
PH150702007,261.0,133.0,128.0,185.0,80.0,105.0,83.0,37.0,46.0,154.0,78.0,76.0
PH150702008,737.0,379.0,358.0,422.0,216.0,206.0,210.0,113.0,97.0,320.0,165.0,155.0
PH150702010,99.0,47.0,52.0,59.0,28.0,31.0,24.0,8.0,16.0,81.0,34.0,47.0
PH150702011,174.0,89.0,85.0,147.0,79.0,68.0,59.0,22.0,37.0,101.0,62.0,39.0
PH150702012,174.0,100.0,74.0,110.0,57.0,53.0,48.0,26.0,22.0,95.0,41.0,54.0
PH150702013,129.0,77.0,52.0,51.0,29.0,22.0,29.0,14.0,15.0,58.0,31.0,27.0
PH150702014,129.0,73.0,56.0,52.0,28.0,24.0,30.0,15.0,15.0,50.0,23.0,27.0
PH150702016,159.0,75.0,84.0,86.0,41.0,45.0,48.0,26.0,22.0,60.0,31.0,29.0
PH150702018,221.0,121.0,100.0,137.0,58.0,79.0,77.0,32.0,45.0,109.0,62.0,47.0
PH150702020,412.0,196.0,216.0,272.0,129.0,143.0,161.0,95.0,66.0,221.0,107.0,114.0
PH150702024,134.0,74.0,60.0,88.0,45.0,43.0,49.0,21.0,28.0,60.0,33.0,27.0
PH150702025,687.0,344.0,343.0,381.0,188.0,193.0,177.0,91.0,86.0,298.0,153.0,145.0
PH150702028,386.0,183.0,203.0,217.0,104.0,113.0,111.0,64.0,47.0,167.0,81.0,86.0
PH150702032,132.0,65.0,67.0,75.0,44.0,31.0,52.0,29.0,23.0,78.0,39.0,39.0
PH150702034,95.0,43.0,52.0,53.0,26.0,27.0,27.0,11.0,16.0,51.0,26.0,25.0
