PSGC_BRGY,both_age_6_to_16,local_Moran,pvalue,spatial_cluster
PH157001001,1610.0,1.2083670486986993,0.056,ns
PH157001002,874.0,0.26947956926430144,0.093,ns
PH157001003,1248.0,0.29450664125329756,0.123,ns
PH157001004,525.0,0.005333168622015266,0.233,ns
PH157001005,609.0,0.07309472860709144,0.1,ns
PH157001007,782.0,0.428286414216377,0.04,HH
PH157001008,350.0,-0.06763900879024509,0.116,ns
PH157001009,702.0,0.26523125695601446,0.067,ns
PH157001010,913.0,0.18197215208474274,0.144,ns
PH157001011,1005.0,0.21036020173733697,0.152,ns
PH157001012,437.0,-0.011178378541910549,0.174,ns
PH157001013,732.0,0.2007569797436714,0.076,ns
PH157001014,821.0,0.0017431798325472406,0.315,ns
PH157001015,833.0,0.23701928392758903,0.084,ns
PH157001016,887.0,0.2270023844903292,0.103,ns
PH157001017,672.0,0.0261581767118179,0.235,ns
PH157001018,895.0,0.0,0.001,LH
PH157002005,441.0,-0.010364026677469947,0.163,ns
PH157002006,273.0,-0.11177014591594259,0.104,ns
PH157002007,558.0,-0.004285701788498548,0.374,ns
PH157002009,338.0,-0.022341743461424018,0.229,ns
PH157002010,2056.0,3.398499997722133,0.031,HH
PH157002012,433.0,-0.002449482449879389,0.297,ns
PH157002013,258.0,0.000996071028686028,0.33,ns
PH157002014,879.0,0.004956769741295875,0.313,ns
PH157002015,353.0,-0.006046418484223027,0.299,ns
PH157002016,357.0,0.05517126202248257,0.31,ns
PH157002017,567.0,-0.02187376922734955,0.461,ns
PH157002018,286.0,-0.0010979716295290978,0.325,ns
PH157002019,416.0,-0.001665877188693221,0.309,ns
PH157002021,485.0,-0.0014803201696760564,0.454,ns
PH157002022,443.0,-0.024551129482290875,0.082,ns
PH157002023,474.0,-0.005356775610815062,0.037,HL
PH157002024,381.0,-0.032152766629742625,0.164,ns
PH157002025,296.0,0.028053673561471853,0.417,ns
PH157002026,935.0,1.186524056217007,0.027,HH
PH157002027,3678.0,9.967363757710592,0.021,HH
PH157002030,1134.0,0.1734258535863053,0.194,ns
PH157002031,471.0,-0.0011846505805505453,0.215,ns
PH157002033,2224.0,4.23661900305379,0.026,HH
PH157002034,392.0,-0.0040847520698588805,0.298,ns
PH157002037,912.0,0.019216134883018574,0.307,ns
PH157002040,333.0,0.0029772022202901637,0.33,ns
PH157002042,464.0,-0.009065942860708972,0.085,ns
PH157002043,409.0,0.013689374573881084,0.46,ns
PH157002044,451.0,0.004001920839441659,0.414,ns
PH157002045,1502.0,2.3548754948094186,0.028,HH
PH157002046,334.0,0.017688009459422754,0.401,ns
PH157002047,2265.0,7.087150132134502,0.013,HH
PH157002048,1405.0,3.211165620871459,0.017,HH
PH157002049,2346.0,4.834750902230394,0.019,HH
PH157002050,1475.0,4.1779271919657965,0.009,HH
PH157003002,416.0,-0.025022246732103293,0.145,ns
PH157003003,310.0,0.023549618053290932,0.442,ns
PH157003004,850.0,0.1352441840101736,0.166,ns
PH157003005,499.0,0.00271424467773725,0.251,ns
PH157003006,768.0,0.035605753935700486,0.266,ns
PH157003007,335.0,0.021420425326779752,0.494,ns
PH157003008,344.0,0.04604351131781932,0.359,ns
PH157003009,359.0,0.019667457769838224,0.495,ns
PH157003012,619.0,-0.039457736062119414,0.404,ns
PH157003013,578.0,-0.01972887193189845,0.47,ns
PH157003014,1074.0,-0.026328462993235185,0.348,ns
PH157003015,235.0,-0.0014088448628926994,0.327,ns
PH157003016,407.0,0.008107787963042241,0.443,ns
PH157004001,529.0,0.0005711625662104685,0.322,ns
PH157004002,1132.0,0.5976955583940627,0.063,ns
PH157004003,453.0,0.005674369149645387,0.468,ns
PH157004004,515.0,-0.0026842850734522376,0.413,ns
PH157004005,386.0,-0.002264473619410154,0.305,ns
PH157004006,790.0,-0.048814267160748326,0.494,ns
PH157004007,356.0,0.02181544267963206,0.48,ns
PH157004008,444.0,-0.0039505222664829925,0.251,ns
PH157004009,483.0,0.008444125419259464,0.048,HH
PH157004011,432.0,-0.005619763601614477,0.246,ns
PH157004012,326.0,-0.012094420342883523,0.28,ns
PH157004013,399.0,0.015958046393471134,0.499,ns
PH157004014,1288.0,1.1869469913688657,0.048,HH
PH157004015,220.0,-0.0464527495520924,0.229,ns
PH157005001,384.0,-0.06384313670531745,0.088,ns
PH157005004,791.0,0.0,0.001,LH
PH157005010,641.0,0.3483815600932247,0.028,HH
PH157005012,884.0,0.03207554370208052,0.275,ns
PH157005016,529.0,0.12034957836346658,0.026,HH
PH157005021,1037.0,1.531632043350367,0.026,HH
PH157005023,2873.0,1.3843399782712351,0.1,ns
PH157005025,1892.0,0.0,0.001,LH
PH157007002,362.0,0.001090369428178294,0.336,ns
PH157007009,345.0,0.01922700977152196,0.474,ns
PH157007010,418.0,-0.02367521270482014,0.148,ns
PH157007012,157.0,0.03238610050189248,0.337,ns
PH157007026,303.0,0.10293450741137784,0.282,ns
PH157007030,542.0,0.0068088046017846585,0.256,ns
PH157007031,705.0,-0.082491059859582,0.297,ns
PH157007033,851.0,-0.0038710127064193827,0.333,ns
PH157007041,341.0,0.05246150501346171,0.382,ns
PH157007042,388.0,0.010886435721183372,0.403,ns
PH157007043,483.0,7.32422015106977e-06,0.324,ns
PH157007044,222.0,0.01853643948776658,0.391,ns
PH157007045,575.0,0.03437826440841371,0.167,ns
PH157007046,1077.0,0.0,0.001,LH
PH157007047,222.0,-0.0,0.001,LL
PH157007048,213.0,0.10293450741137784,0.499,ns
PH157007049,306.0,0.0029602493933562984,0.346,ns
PH157007050,432.0,0.022019945444389923,0.282,ns
PH157007051,345.0,-0.00832796865090095,0.283,ns
PH157007052,429.0,-0.0,0.001,LL
PH157008001,898.0,-0.1949606485457391,0.419,ns
PH157008002,270.0,-0.1949606485457391,0.083,ns
PH157009001,413.0,-0.01600366049800782,0.201,ns
PH157009002,352.0,0.011545109965366052,0.337,ns
PH157009003,459.0,0.005206948929523004,0.399,ns
PH157009004,1660.0,-0.23729828215977686,0.5,ns
PH157009005,780.0,0.3078556040507035,0.056,ns
PH157009006,280.0,-0.12072785067102144,0.097,ns
PH157009009,345.0,-0.0,0.001,LL
PH157009010,592.0,0.006227312008091838,0.297,ns
PH157009011,238.0,-0.13319790073664578,0.11,ns
PH157009012,532.0,-0.01300856318221259,0.401,ns
PH157009013,584.0,-0.028463039113856413,0.421,ns
PH157009015,41.0,-0.3182286970333158,0.089,ns
PH157009016,436.0,0.011545109965366052,0.422,ns
PH157009017,373.0,0.011706573953567995,0.395,ns
PH157009018,390.0,-0.0002472968087182689,0.317,ns
PH157009019,456.0,-0.0,0.001,LL
PH157009020,411.0,-0.027213563790610868,0.146,ns
PH157009021,204.0,-0.2313940761988431,0.074,ns
PH157009022,307.0,0.012458398812456781,0.393,ns
PH157010001,531.0,-0.013853006562190625,0.412,ns
PH157010002,563.0,0.08970212468890683,0.056,ns
PH157010003,1566.0,-0.08211560325299898,0.36,ns
PH157010004,318.0,0.08454905039379489,0.108,ns
PH157010005,425.0,0.019763655611420097,0.393,ns
PH157010006,276.0,0.046897093375638986,0.472,ns
PH157010007,110.0,0.1767237626168902,0.291,ns
PH157010008,325.0,0.04381676138866335,0.495,ns
PH157010009,444.0,0.008376300598988556,0.443,ns
PH157010010,367.0,0.0381771239647827,0.359,ns
PH157010011,155.0,0.11364128375915901,0.307,ns
PH157010012,358.0,0.059564288900737464,0.103,ns
PH157010013,607.0,-0.03996223918360386,0.474,ns
PH157010014,332.0,0.0418019603819763,0.495,ns
PH157010015,331.0,0.04249848473925414,0.391,ns
PH157010016,206.0,0.12703847211984054,0.167,ns
PH157010017,421.0,0.022220140863274774,0.371,ns
PH157010018,305.0,0.06863525320533966,0.222,ns
PH157010019,285.0,0.08975742879386055,0.13,ns
PH157010020,285.0,0.05092439105130669,0.424,ns
PH157010021,330.0,0.06171767059706533,0.226,ns
PH157010022,235.0,0.032757115988501846,0.435,ns
PH157010023,324.0,-0.20120247511325326,0.047,HL
PH157011001,404.0,0.014528784984834217,0.452,ns
PH157011002,305.0,0.08846734920252332,0.256,ns
PH157011003,272.0,0.011922473190696357,0.371,ns
PH157011004,705.0,0.013631847206433479,0.287,ns
PH157011005,448.0,0.011093557966001418,0.389,ns
PH157011006,392.0,0.015003828076603042,0.432,ns
PH157011007,695.0,0.06172351927281157,0.199,ns
PH157011008,505.0,-0.003408420845507838,0.403,ns
PH157011009,723.0,0.11307074667876428,0.139,ns
PH157011010,223.0,0.057259224400094434,0.467,ns
PH157011011,349.0,0.024436953373606688,0.379,ns
PH157011012,775.0,0.16329242852962841,0.114,ns
PH157011013,722.0,0.06144090279289864,0.206,ns
PH157011014,404.0,-0.03868596670095548,0.12,ns
PH157011015,591.0,0.005791495806637868,0.298,ns
PH157011016,604.0,0.06314070497896436,0.127,ns
PH156607031,256.0,0.061239039283689276,0.343,ns
PH156607033,203.0,-0.028553051697448758,0.264,ns
PH156607034,526.0,-0.016402955679350226,0.204,ns
PH156607036,3110.0,-0.5586250126070293,0.492,ns
PH156607037,433.0,0.003039320246436705,0.386,ns
PH156607038,181.0,0.10554818669024275,0.209,ns
PH156607039,425.0,0.01724630429484846,0.24,ns
PH156607040,191.0,0.113607637031208,0.18,ns
PH156607042,470.0,0.0005489126109085404,0.398,ns
PH156607043,219.0,0.11923808713211953,0.102,ns
PH156608003,381.0,-0.0795065137319973,0.075,ns
PH156608006,604.0,0.11217533041185143,0.074,ns
PH156608007,810.0,0.02690992391866983,0.274,ns
PH156608009,602.0,0.048103284744880445,0.157,ns
PH157006030,255.0,0.14828580846849487,0.008,LL
PH157006032,171.0,0.14394513888146995,0.299,ns
PH157006033,214.0,0.10627245378412405,0.296,ns
PH157006034,266.0,0.09957352799115024,0.131,ns
PH157006035,265.0,0.09817846008341326,0.227,ns
PH157006036,353.0,0.08756115533736208,0.028,LL
PH157006037,149.0,0.21495417070715594,0.054,ns
PH157006038,193.0,0.16680923342727919,0.062,ns
PH157006039,121.0,0.24311432094019667,0.004,LL
PH150713006,1302.0,0.46981176203263947,0.132,ns
PH150713010,691.0,0.04768489941383554,0.223,ns
PH150713011,577.0,0.07869142619620331,0.076,ns
PH150713012,969.0,0.10969795297857106,0.223,ns
PH156601001,689.0,0.6573733988296349,0.016,HH
PH156601002,578.0,0.14267805852624782,0.039,HH
PH156601003,1569.0,0.4266182561361681,0.153,ns
PH156601004,938.0,0.9788811695657882,0.03,HH
PH156601005,279.0,0.01213316958692601,0.386,ns
PH156601006,463.0,-0.0020973550426572033,0.236,ns
PH156601007,495.0,-0.0023531038406015043,0.454,ns
PH156601008,545.0,0.00579837819134347,0.26,ns
PH156601010,589.0,0.05675238481109717,0.123,ns
PH156601011,4065.0,21.417484271944048,0.001,HH
PH156601012,513.0,0.008310014663465435,0.2,ns
PH156601013,298.0,0.00810780742109324,0.37,ns
PH156601014,471.0,0.0013548439780406703,0.456,ns
PH156601015,465.0,-0.00293644539955718,0.191,ns
PH156601016,321.0,0.009023536451913096,0.377,ns
PH156601017,437.0,-0.008367320757377322,0.207,ns
PH156601018,869.0,-0.08942441410615855,0.404,ns
PH156601019,328.0,0.03264305343404048,0.451,ns
PH156601020,429.0,-0.046157814144057854,0.065,ns
PH156601021,456.0,-0.0002548276149567348,0.317,ns
PH156601022,502.0,-0.0049414912565090355,0.427,ns
PH156601023,416.0,0.003845615808571021,0.389,ns
PH156601024,614.0,-0.0031289251607190594,0.358,ns
PH156601025,648.0,-0.043942857870019766,0.36,ns
PH156601026,621.0,-0.00553919754144842,0.363,ns
PH156601027,312.0,0.02820921297852031,0.468,ns
PH156601028,382.0,-0.007536107726034766,0.27,ns
PH156601029,767.0,-0.04948214236912638,0.486,ns
PH156601030,588.0,0.4459425879866534,0.003,HH
PH156601031,1724.0,2.113560876508726,0.034,HH
PH156601032,696.0,0.017617722204781108,0.278,ns
PH156601033,563.0,-0.02510196648716227,0.328,ns
PH156601035,326.0,-0.17187899562818773,0.04,HL
PH156601036,268.0,-0.025340655756329537,0.254,ns
PH156602001,3133.0,27.222202899674144,0.001,HH
PH156602002,7433.0,56.89678704045594,0.001,HH
PH156602003,11745.0,55.47612368753201,0.004,HH
PH156602004,1482.0,5.4413344923391325,0.008,HH
PH156602007,4774.0,53.009375980320804,0.001,HH
PH156602008,1781.0,6.142814698098073,0.016,HH
PH156602009,3687.0,21.84162617969601,0.001,HH
