PSGC_BRGY,both_student_age_7_to_25,male_student_age_7_to_25,female_student_age_7_to_25,No_of_Schools,Perc_Households_Electricity_Light,Perc_Households_Kerosene_Gass_Light,Perc_Households_Drinking_Owned_Faucet,Perc_Households_Drinking_Shared_Faucet,number_of_roads,Nearest_School,Nearest_School_Distance
PH150702001,250.0,134.0,116.0,1.0,0.65625,0.34375,0.05,0.41875,0,133005,0.01883684683664495
PH150702002,497.0,247.0,250.0,1.0,0.7922077922077922,0.2077922077922078,0.05194805194805195,0.008658008658008658,1,132981,0.0068981779959078945
PH150702004,237.0,112.0,125.0,,0.39603960396039606,0.594059405940594,0.019801980198019802,0.13861386138613863,3,132993,0.0016296351264468978
PH150702005,953.0,489.0,464.0,1.0,0.8709677419354839,0.12672811059907835,0.09907834101382489,0.7304147465437788,5,133006,0.013759094696213019
PH150702006,1277.0,700.0,577.0,1.0,0.7197802197802198,0.23626373626373626,0.0018315018315018315,0.01282051282051282,4,132992,0.010513112043472009
PH150702007,788.0,412.0,376.0,1.0,0.8310502283105022,0.15753424657534246,0.2876712328767123,0.3219178082191781,14,132991,0.012901695802199582
PH150702008,1911.0,942.0,969.0,1.0,0.6902536715620827,0.308411214953271,0.1829105473965287,0.6234979973297731,2,132988,0.0069879622060451405
PH150702010,290.0,158.0,132.0,1.0,0.6559139784946236,0.3279569892473118,0.0,0.010752688172043012,1,133005,0.005339717047408105
PH150702011,541.0,263.0,278.0,1.0,0.8228782287822878,0.17712177121771217,0.007380073800738007,0.04797047970479705,3,133011,0.00825707446827388
PH150702012,510.0,266.0,244.0,1.0,0.6291390728476821,0.3675496688741722,0.0033112582781456954,0.046357615894039736,2,132994,0.008597813485175052
PH150702013,314.0,160.0,154.0,1.0,0.5495049504950495,0.39603960396039606,0.034653465346534656,0.01485148514851485,0,133005,0.042187114123368195
PH150702014,283.0,151.0,132.0,1.0,0.7740112994350282,0.22598870056497175,0.02824858757062147,0.519774011299435,5,304940,0.01372008141924655
PH150702016,398.0,187.0,211.0,1.0,0.8071065989847716,0.17258883248730963,0.030456852791878174,0.03553299492385787,3,304939,0.0005550114330706622
PH150702018,625.0,325.0,300.0,1.0,0.5959183673469388,0.39183673469387753,0.02040816326530612,0.07346938775510205,4,132997,0.007286749952338941
PH150702020,1204.0,581.0,623.0,3.0,0.8256880733944955,0.16972477064220184,0.12538226299694188,0.0963302752293578,3,215006,0.004844243033459987
PH150702024,377.0,199.0,178.0,2.0,0.9466019417475728,0.05339805825242718,0.014563106796116505,0.4077669902912621,3,133012,0.001370565529337896
PH150702025,1683.0,849.0,834.0,2.0,0.6650406504065041,0.2894308943089431,0.05365853658536585,0.5252032520325203,1,475003,0.0026409675955931973
PH150702028,1002.0,490.0,512.0,2.0,0.9071146245059288,0.09288537549407115,0.5276679841897233,0.35968379446640314,2,133010,0.0026273417558195385
PH150702032,394.0,180.0,214.0,2.0,0.8535564853556485,0.14644351464435146,0.4435146443514644,0.39748953974895396,2,133002,0.0054626330007516545
PH150702034,266.0,135.0,131.0,1.0,0.5031055900621118,0.45962732919254656,0.031055900621118012,0.012422360248447204,0,133005,0.03704123148251023
PH150702035,280.0,148.0,132.0,1.0,0.9508196721311475,0.040983606557377046,0.02459016393442623,0.9262295081967213,1,133014,0.006854016090903757
PH150702036,576.0,296.0,280.0,1.0,0.9444444444444444,0.05555555555555555,0.006535947712418301,0.02287581699346405,1,133020,0.003114928583916344
PH150702037,679.0,353.0,326.0,2.0,0.8212435233160622,0.16321243523316062,0.20207253886010362,0.007772020725388601,4,133018,0.00538525658427581
PH150702039,660.0,328.0,332.0,2.0,0.7661538461538462,0.23384615384615384,0.021538461538461538,0.0,1,133151,0.011261408373440585
PH150702045,2116.0,1055.0,1061.0,3.0,0.8809730668983493,0.11728931364031277,0.02693310165073849,0.5403996524761078,39,133017,0.009216326927923388
PH150702047,469.0,233.0,236.0,1.0,0.8625592417061612,0.13744075829383887,0.0,0.023696682464454975,3,133022,0.014576209461290323
PH150702049,433.0,214.0,219.0,1.0,0.7658227848101266,0.21518987341772153,0.0,0.0759493670886076,4,133019,0.008186568283054634
PH150702050,645.0,332.0,313.0,4.0,0.8128205128205128,0.18461538461538463,0.007692307692307693,0.017948717948717947,4,318001,0.008496034157641422
PH150702054,255.0,112.0,143.0,,1.0,0.0,0.0,0.0,1,133145,0.006182025051658514
PH150702055,314.0,157.0,157.0,1.0,0.8472906403940886,0.15270935960591134,0.029556650246305417,0.0,5,133008,0.004001612625930357
PH150702056,258.0,114.0,144.0,,0.44285714285714284,0.08571428571428572,0.007142857142857143,0.02857142857142857,2,132996,0.01704855682315875
PH150702057,270.0,134.0,136.0,,0.8584070796460177,0.1415929203539823,0.0,0.0,4,132997,0.010185946497759047
PH150702058,778.0,410.0,368.0,1.0,0.9919137466307277,0.008086253369272238,0.6415094339622641,0.05121293800539083,1,133015,0.008715323543793783
PH150702059,639.0,323.0,316.0,2.0,0.8921832884097035,0.1078167115902965,0.02425876010781671,0.1105121293800539,7,330526,0.0036745441074583995
PH150702060,363.0,178.0,185.0,2.0,0.691358024691358,0.30864197530864196,0.0,0.691358024691358,3,254001,0.02695342893265341
PH150702061,587.0,301.0,286.0,1.0,0.7007575757575758,0.2537878787878788,0.011363636363636364,0.015151515151515152,3,133003,0.0064253589925048135
PH150702062,280.0,147.0,133.0,1.0,0.652542372881356,0.3474576271186441,0.025423728813559324,0.0,5,406057,0.00909618088903286
PH150702063,276.0,138.0,138.0,,0.6017699115044248,0.36283185840707965,0.0,0.008849557522123894,1,133150,0.01092619685925022
PH150702064,1519.0,779.0,740.0,3.0,0.9493150684931507,0.04657534246575343,0.6013698630136987,0.08493150684931507,9,475002,0.0017472593141244592
PH150702065,437.0,218.0,219.0,2.0,0.9738372093023255,0.020348837209302327,0.8197674418604651,0.07267441860465117,19,132985,0.003061693462771044
PH150702066,1113.0,564.0,549.0,2.0,0.9805068226120858,0.017543859649122806,0.9142300194931774,0.08382066276803118,11,405839,0.001569450270397985
PH150702067,674.0,372.0,302.0,1.0,0.9349775784753364,0.053811659192825115,0.6165919282511211,0.08968609865470852,7,406057,0.0053351259094922224
PH150702068,931.0,452.0,479.0,5.0,0.943502824858757,0.0480225988700565,0.7740112994350282,0.1864406779661017,21,475001,0.0056940211678597275
PH150702069,1982.0,971.0,1011.0,,0.9531963470319634,0.04452054794520548,0.7534246575342466,0.2317351598173516,6,132990,0.0026911671448102323
PH150702070,303.0,146.0,157.0,,0.3146853146853147,0.6783216783216783,0.013986013986013986,0.0,0,132995,0.0034673268030812935
PH150703001,1028.0,533.0,495.0,2.0,0.9140811455847255,0.07875894988066826,0.5536992840095465,0.2171837708830549,1,304926,0.011185557618182851
PH150703003,220.0,113.0,107.0,1.0,0.4567901234567901,0.5308641975308642,0.012345679012345678,0.0,0,133026,0.007337938082316224
PH150703004,358.0,184.0,174.0,1.0,0.4878048780487805,0.5040650406504065,0.0,0.6585365853658537,0,133028,0.0046053601688385865
PH150703007,427.0,212.0,215.0,1.0,0.9705882352941176,0.01764705882352941,0.0058823529411764705,0.0058823529411764705,0,133034,0.01351075930292764
PH150703008,430.0,203.0,227.0,1.0,0.9705882352941176,0.029411764705882353,0.00980392156862745,0.9607843137254902,2,133037,0.005997221712501137
PH150703011,361.0,178.0,183.0,2.0,0.8022598870056498,0.192090395480226,0.23728813559322035,0.12994350282485875,3,133032,0.011433174781950184
PH150703012,406.0,194.0,212.0,1.0,0.5988023952095808,0.40119760479041916,0.011976047904191617,0.9880239520958084,0,133040,0.01488201155924437
PH150703016,928.0,464.0,464.0,2.0,0.5843520782396088,0.40097799511002447,0.0,0.0,7,304927,0.003929642367497876
PH150703017,378.0,197.0,181.0,1.0,0.034653465346534656,0.9158415841584159,0.024752475247524754,0.01485148514851485,2,133048,0.004582225277547912
PH150703018,360.0,177.0,183.0,1.0,0.04216867469879518,0.45180722891566266,0.006024096385542169,0.0,0,133024,0.008334617081886316
PH150703019,691.0,377.0,314.0,1.0,0.8731884057971014,0.12681159420289856,0.0,0.018115942028985508,0,133027,0.01507546208550069
PH150703021,397.0,192.0,205.0,1.0,0.012195121951219513,0.8780487804878049,0.006097560975609756,0.0,0,133044,0.011090168708086484
PH150703024,243.0,120.0,123.0,1.0,0.6906474820143885,0.302158273381295,0.7841726618705036,0.12949640287769784,1,133036,0.003602336216708009
