,PSGC_BRGY,both_age_0_to_4,male_age_0_to_4,female_age_0_to_4,both_age_5_to_9,male_age_5_to_9,female_age_5_to_9,both_age_10_to_14,male_age_10_to_14,female_age_10_to_14,both_age_15_to_19,male_age_15_to_19,female_age_15_to_19,both_age_20_to_24,male_age_20_to_24,female_age_20_to_24,both_age_25_to_29,male_age_25_to_29,female_age_25_to_29,both_age_30_to_34,male_age_30_to_34,female_age_30_to_34,both_age_35_to_39,male_age_35_to_39,female_age_35_to_39,both_age_40_to_44,male_age_40_to_44,female_age_40_to_44,both_age_45_to_49,male_age_45_to_49,female_age_45_to_49,both_age_50_to_54,male_age_50_to_54,female_age_50_to_54,both_age_55_to_59,male_age_55_to_59,female_age_55_to_59,both_age_60_to_64,male_age_60_to_64,female_age_60_to_64,both_age_65_to_69,male_age_65_to_69,female_age_65_to_69,both_age_70_to_74,male_age_70_to_74,female_age_70_to_74,both_age_75_to_79,male_age_75_to_79,female_age_75_to_79,both_age_80_to_84,male_age_80_to_84,female_age_80_to_84,No_of_Schools,SCH_TYPE_PUBLIC,SCH_TYPE_Private,SCH_TYPE_Public,SCH_TYPE_SUC,SCH_TYPE_SUC ,SCH_CAT_CES,SCH_CAT_ES,SCH_CAT_JHS,SCH_CAT_MD,SCH_CAT_PES,SCH_CAT_PJHS,SCH_CAT_PS,SCH_CAT_PSHS,SCH_CAT_SHS,SCH_CAT_SUC,Perc_Households_Electricity_Light,Perc_Households_Kerosene_Gass_Light,Perc_Households_Drinking_Owned_Faucet,Perc_Households_Drinking_Shared_Faucet,number_of_roads,Nearest_School,Nearest_School_Distance
0,PH150702001,88.0,54.0,34.0,79.0,35.0,44.0,73.0,42.0,31.0,50.0,28.0,22.0,77.0,41.0,36.0,52.0,29.0,23.0,42.0,20.0,22.0,37.0,19.0,18.0,38.0,22.0,16.0,38.0,19.0,19.0,23.0,12.0,11.0,26.0,16.0,10.0,16.0,9.0,7.0,18.0,6.0,12.0,6.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65625,0.34375,0.05,0.41875,0,133005,0.01883684683664495
1,PH150702002,210.0,100.0,110.0,161.0,77.0,84.0,133.0,69.0,64.0,139.0,67.0,72.0,124.0,57.0,67.0,92.0,48.0,44.0,79.0,40.0,39.0,68.0,26.0,42.0,67.0,34.0,33.0,41.0,21.0,20.0,36.0,14.0,22.0,24.0,13.0,11.0,32.0,11.0,21.0,17.0,5.0,12.0,15.0,5.0,10.0,11.0,5.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7922077922077922,0.2077922077922078,0.05194805194805195,0.008658008658008658,1,132981,0.0068981779959078945
2,PH150702004,57.0,27.0,30.0,62.0,40.0,22.0,80.0,39.0,41.0,62.0,29.0,33.0,46.0,19.0,27.0,32.0,14.0,18.0,26.0,8.0,18.0,29.0,10.0,19.0,28.0,17.0,11.0,27.0,15.0,12.0,7.0,3.0,4.0,11.0,6.0,5.0,11.0,5.0,6.0,12.0,6.0,6.0,5.0,2.0,3.0,3.0,1.0,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.39603960396039606,0.594059405940594,0.019801980198019802,0.13861386138613863,3,132993,0.0016296351264468978
3,PH150702005,277.0,152.0,125.0,305.0,159.0,146.0,269.0,155.0,114.0,247.0,113.0,134.0,214.0,110.0,104.0,205.0,93.0,112.0,180.0,93.0,87.0,137.0,74.0,63.0,109.0,44.0,65.0,110.0,50.0,60.0,116.0,57.0,59.0,67.0,30.0,37.0,50.0,36.0,14.0,27.0,12.0,15.0,22.0,9.0,13.0,13.0,3.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8709677419354839,0.12672811059907835,0.09907834101382489,0.7304147465437788,5,133006,0.013759094696213019
4,PH150702006,352.0,146.0,206.0,354.0,201.0,153.0,398.0,217.0,181.0,319.0,170.0,149.0,281.0,153.0,128.0,248.0,129.0,119.0,224.0,104.0,120.0,142.0,67.0,75.0,145.0,75.0,70.0,122.0,67.0,55.0,103.0,42.0,61.0,66.0,30.0,36.0,68.0,32.0,36.0,57.0,34.0,23.0,21.0,9.0,12.0,9.0,5.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7197802197802198,0.23626373626373626,0.0018315018315018315,0.01282051282051282,4,132992,0.010513112043472009
5,PH150702007,270.0,140.0,130.0,236.0,114.0,122.0,220.0,121.0,99.0,210.0,117.0,93.0,188.0,90.0,98.0,153.0,87.0,66.0,124.0,70.0,54.0,105.0,55.0,50.0,110.0,49.0,61.0,107.0,57.0,50.0,97.0,52.0,45.0,60.0,29.0,31.0,61.0,31.0,30.0,27.0,15.0,12.0,17.0,11.0,6.0,16.0,3.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8310502283105022,0.15753424657534246,0.2876712328767123,0.3219178082191781,14,132991,0.012901695802199582
6,PH150702008,613.0,293.0,320.0,623.0,322.0,301.0,570.0,278.0,292.0,502.0,238.0,264.0,367.0,189.0,178.0,325.0,152.0,173.0,287.0,138.0,149.0,230.0,97.0,133.0,231.0,109.0,122.0,177.0,82.0,95.0,127.0,67.0,60.0,76.0,35.0,41.0,56.0,32.0,24.0,44.0,21.0,23.0,18.0,10.0,8.0,13.0,6.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6902536715620827,0.308411214953271,0.1829105473965287,0.6234979973297731,2,132988,0.0069879622060451405
7,PH150702010,92.0,50.0,42.0,84.0,38.0,46.0,71.0,36.0,35.0,68.0,42.0,26.0,85.0,50.0,35.0,72.0,39.0,33.0,53.0,31.0,22.0,43.0,24.0,19.0,41.0,25.0,16.0,48.0,26.0,22.0,39.0,25.0,14.0,26.0,11.0,15.0,22.0,12.0,10.0,13.0,6.0,7.0,11.0,6.0,5.0,7.0,3.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6559139784946236,0.3279569892473118,0.0,0.010752688172043012,1,133005,0.005339717047408105
8,PH150702011,144.0,73.0,71.0,160.0,81.0,79.0,163.0,77.0,86.0,152.0,79.0,73.0,113.0,47.0,66.0,97.0,48.0,49.0,96.0,54.0,42.0,89.0,49.0,40.0,62.0,36.0,26.0,63.0,23.0,40.0,39.0,21.0,18.0,39.0,22.0,17.0,32.0,18.0,14.0,28.0,14.0,14.0,12.0,6.0,6.0,6.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8228782287822878,0.17712177121771217,0.007380073800738007,0.04797047970479705,3,133011,0.00825707446827388
9,PH150702012,155.0,93.0,62.0,143.0,77.0,66.0,149.0,85.0,64.0,124.0,57.0,67.0,111.0,60.0,51.0,123.0,56.0,67.0,79.0,37.0,42.0,57.0,30.0,27.0,58.0,25.0,33.0,92.0,41.0,51.0,79.0,37.0,42.0,42.0,19.0,23.0,21.0,11.0,10.0,25.0,10.0,15.0,21.0,11.0,10.0,12.0,9.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6291390728476821,0.3675496688741722,0.0033112582781456954,0.046357615894039736,2,132994,0.008597813485175052
