osm_id,PSGC_BRGY_LIST,PROV_LIST
210935215,"{'PH150707010', 'PH150710006', 'PH150708005', 'PH150707005', 'PH150707021', 'PH150707033', 'PH150710005', 'PH150710011', 'PH150707016', 'PH150707025', 'PH150707034'}",{'BASILAN'}
210935219,"{'PH150702018', 'PH150707028', 'PH150706016', 'PH150708001', 'PH150705048', 'PH150702066', 'PH150702067', 'PH150702054', 'PH150706038', 'PH150706011', 'PH150707033', 'PH150702063', 'PH150707025', 'PH150702020', 'PH150702064', 'PH150706012', 'PH150706002', 'PH150702057', 'PH150702039', 'PH150706019', 'PH150711004', 'PH150702002', 'PH150702062', 'PH150707041'}",{'BASILAN'}
301620414,"{'PH150702025', 'PH150702065', 'PH150702066', 'PH150702067', 'PH150702069', 'PH150708003'}",{'BASILAN'}
103130612,"{'PH150705030', 'PH150706016', 'PH150705045', 'PH150711010', 'PH150705048', 'PH150711012', 'PH150711008', 'PH150705013'}",{'BASILAN'}
301619117,{'PH150706016'},{'BASILAN'}
301619118,{'PH150706016'},{'BASILAN'}
301620411,"{'PH150706016', 'PH150706017'}",{'BASILAN'}
540118516,{'PH150711008'},{'BASILAN'}
540118534,{'PH150706017'},{'BASILAN'}
540118540,{'PH150706016'},{'BASILAN'}
540118541,"{'PH150706016', 'PH150705048'}",{'BASILAN'}
95782413,set(),set()
97658127,set(),set()
128158177,set(),set()
128160076,set(),set()
128160077,set(),set()
129197770,set(),set()
129202423,set(),set()
129206122,set(),set()
129206123,set(),set()
129216034,set(),set()
129216705,set(),set()
129218505,set(),set()
130428219,set(),set()
130874010,set(),set()
130874023,set(),set()
133122938,set(),set()
133125779,set(),set()
133125784,set(),set()
133128015,set(),set()
173296975,set(),set()
173297566,set(),set()
173449317,"{'PH153822006', 'PH153810013'}",{'MAGUINDANAO'}
337121794,set(),set()
338253462,set(),set()
338253464,set(),set()
338253472,set(),set()
431114140,set(),set()
431114142,set(),set()
431114144,set(),set()
637076725,set(),set()
149306683,{'PH153801035'},{'MAGUINDANAO'}
