school_id,female_grade 1,female_grade 2,female_grade 3,female_grade 4,female_grade 5,female_grade 6,male_grade 1,male_grade 2,male_grade 3,male_grade 4,male_grade 5,male_grade 6,SCH_NAME,PSGC_BRGY
132981,22,17,29,25,26,30,25,14,29,34,19,25,Baas ES,PH150702002
132983,28,23,43,34,43,34,48,31,46,42,37,24,Campo Uno ES,PH150702018
132984,41,33,37,58,36,26,40,29,40,79,24,20,Dangkalan ES,PH150702025
132985,58,46,64,73,69,60,73,64,50,86,67,60,Jose Rizal ES,PH150702068
132986,205,204,249,236,209,194,189,187,243,251,206,185,Lamitan CES,PH150702064
132988,66,81,78,94,71,48,75,96,82,83,54,44,Magsaysay ES,PH150702008
132990,0,0,0,0,0,0,0,0,0,0,0,0,Lamitan City Sped Center,PH150702064
132991,59,90,90,97,63,75,77,81,90,88,72,64,B. Aldana CES,PH150702028
132992,38,49,55,50,51,49,51,60,63,65,61,46,Balas ES,PH150702006
132993,19,20,24,20,15,14,14,20,20,28,17,18,Balobo ES,PH150702007
132994,5,4,1,6,2,3,3,3,5,6,6,4,Bohe-Ibu ES,PH150702012
132995,12,17,11,18,12,10,7,12,16,18,13,10,Boheyakan ES,PH150702010
132996,10,12,13,12,7,4,5,15,11,17,11,15,Bulingan ES,PH150702014
132997,16,6,7,9,8,2,22,6,11,9,9,6,Cabobo ES,PH150702016
132998,34,34,33,50,40,36,40,35,31,35,59,37,Colony CES,PH150702020
133000,9,13,10,10,9,12,14,16,16,18,8,18,Hilltop ES,PH150702013
133001,18,14,10,17,15,16,20,15,19,19,13,16,Lo-ok ES,PH150702032
133002,26,22,27,30,20,19,15,21,33,28,19,10,Lumutun ES,PH150702034
133003,35,38,21,47,33,33,52,42,49,36,30,22,Mabini ES,PH150702058
133004,7,0,0,0,0,0,8,0,0,0,0,0,,
133005,20,16,12,12,11,12,15,12,19,13,11,13,Mt. Trail ES,PH150702001
133006,28,31,29,37,31,28,35,36,29,48,31,15,Balagtasan ES,PH150702005
133008,11,18,19,19,19,12,15,23,14,29,17,13,Baungus ES,PH150702055
133009,13,6,14,12,10,7,14,16,13,8,7,13,Bohenange ES,PH150702060
133010,20,14,18,13,11,15,12,19,17,13,17,7,Boheyawas ES,PH150702061
133011,26,21,21,22,10,21,19,32,37,15,15,9,Buahan ES,PH150702011
133012,16,8,17,10,10,9,7,12,9,14,16,12,Calugusan ES,PH150702024
133013,15,10,7,12,8,5,17,8,9,10,8,4,Luksumbang ES,PH150702035
133014,12,22,20,12,15,7,12,23,11,14,17,17,Maloong Legion ES,PH150702036
133015,6,4,7,8,4,9,4,9,7,10,8,8,Panansangan ES,PH150702050
133016,26,34,27,28,15,20,31,22,37,25,16,14,San Jose CES,PH150702037
133017,67,58,57,70,42,48,66,74,68,64,48,55,Sta. Clara CES,PH150702045
133018,7,6,7,7,5,11,8,10,8,7,3,5,Suguemmul ES,PH150702037
133019,20,13,10,13,16,20,24,18,13,23,19,18,Tandung Ahas ES,PH150702047
133020,15,24,21,20,20,20,19,29,25,28,14,17,Tumakid ES,PH150702049
133021,8,18,14,16,14,20,14,16,22,13,14,9,Ubit ES,PH150702050
133022,15,21,16,19,16,17,19,13,19,16,15,16,Ulame ES,PH150702059
133023,34,36,37,48,51,32,31,29,53,55,42,45,Atong-Atong ES,PH150703001
133024,7,7,8,6,2,0,14,9,8,3,2,0,Bagbagon ES,PH150703018
133026,7,7,9,12,9,6,7,10,14,16,19,8,Baungis ES,PH150703003
133027,17,23,9,10,9,7,23,16,18,5,4,2,Bulan-Bulan ES,PH150703019
133028,11,9,7,7,6,0,16,7,11,11,5,0,Bulanza ES,PH150703004
133029,6,7,9,5,4,3,6,6,11,7,6,5,Calayan ES,PH150703037
133032,21,26,20,24,17,18,14,25,20,22,22,18,Concepcion CES,PH150703011
133033,8,19,18,17,9,9,21,10,20,10,14,5,Kasawi ES,PH150703027
133034,2,7,7,8,5,0,5,7,7,5,1,0,Lantawan Proper ES,PH150703007
133035,14,12,18,18,13,7,13,22,12,19,9,5,Lawi-Lawi ES,PH150703031
133036,11,6,11,6,10,7,6,8,9,12,10,5,Lower Banas ES,
133037,10,4,10,6,7,9,10,8,11,9,10,4,Lower Manggas ES,PH150703008
133040,14,5,13,9,6,6,14,9,10,5,12,8,Matikang ES,PH150703012
133041,20,14,14,9,6,12,14,16,17,10,14,12,Pamucalin ES,PH150703033
133042,6,4,7,3,5,13,8,13,7,13,4,5,Paniogan ES,PH150703035
133043,6,7,8,16,15,1,10,10,14,16,24,9,Parian Baunoh ES,PH150703038
133044,9,3,4,0,0,0,12,6,10,3,0,0,Subaan PS,PH150703021
133045,7,7,8,9,12,9,7,8,27,16,14,9,Switch Yakal ES,PH150703034
133046,42,60,56,60,38,37,60,69,64,61,44,25,Tairan ES,PH150703016
133047,16,11,12,13,12,13,12,13,11,16,8,6,Upper Banas ES,
133048,8,0,0,0,0,0,10,0,0,0,0,0,Upper  Manggas PS,PH150703017
133049,14,13,11,15,20,17,11,22,15,19,21,8,Abong-Abong ES,PH150704001
133050,14,7,10,12,16,7,13,15,9,11,5,7,Batungal ES,PH150704002
133052,29,27,30,31,24,26,38,40,34,17,16,21,Calang ES,PH150704003
133053,15,20,22,22,16,11,10,16,23,13,18,12,Camanggaan ES,PH150704013
133054,30,31,19,16,28,22,26,33,21,27,18,19,Fuente ES,PH150704016
133055,163,163,165,167,161,165,195,138,175,168,155,124,Maluso CES,PH150704013
133056,7,14,6,6,3,0,8,10,10,8,7,0,Pali ES,PH150704001
133057,17,28,31,28,20,15,28,28,28,29,26,9,Tubigan ES,PH150704018
133058,8,4,3,1,3,0,6,12,7,12,10,1,Upper Garlayan ES,PH150704021
133061,28,17,13,18,26,24,37,14,21,34,15,12,Gaunan ES,PH150704005
133062,6,7,3,13,12,4,6,17,5,4,13,9,Landungan ES,
133063,49,35,39,32,17,13,49,27,24,27,30,16,Laud ES,PH150704011
133065,125,125,97,121,112,123,139,114,120,118,107,93,Port Holland CES,PH150704009
133066,72,42,46,46,40,43,77,54,67,48,43,26,Shipyard ES,PH150704010
133067,9,15,24,21,11,5,14,22,28,26,5,5,Tamuk ES,PH150704017
133068,31,41,39,30,25,25,53,33,48,23,23,14,Upper Taberlongan ES,PH150704015
133069,11,8,11,6,11,9,12,8,9,11,7,7,Baluk-Baluk ES,PH150712001
133070,0,0,0,0,0,0,6,0,0,0,0,0,Dasalan ES,PH150712002
133071,21,15,28,20,33,25,22,19,22,35,25,25,Lubukan CES,PH150712003
133072,7,7,4,4,0,0,6,6,4,4,0,0,Lukbaldaya PS,PH150712004
133073,12,15,8,11,7,9,8,4,9,14,11,9,Lukbungsod ES,PH150712004
133074,3,6,6,0,0,0,8,7,3,0,0,0,Mananggal ES,PH150712005
133075,19,22,19,18,19,9,18,20,16,20,9,6,Palahangan ES,PH150712006
133076,10,5,10,9,0,0,11,13,11,7,0,0,Panducan ES,PH150712007
133077,28,40,23,23,27,20,41,34,26,27,13,8,Sangbay Big ES,PH150712008
133078,40,34,23,40,25,21,41,31,35,36,28,24,Sangbay Small ES,PH150712009
133079,35,30,31,41,39,41,45,37,40,40,33,21,Tausan ES,PH150712010
133081,12,19,16,8,7,6,24,23,12,9,8,9,Babag ES,PH150713001
133083,32,10,26,26,15,15,16,24,41,25,13,16,Balanting ES,PH150713002
133084,8,8,8,11,15,11,5,2,11,7,15,7,Bubuan ES,PH150713003
133085,104,48,35,35,11,21,81,71,37,40,12,6,Bukutumus ES,PH150713004
133086,3,11,0,0,0,0,4,11,0,0,0,0,Caryatul Mambrook PS,PH150713012
133087,8,2,4,0,0,0,5,4,4,0,0,0,Kaumpurnah ES,PH150713005
133088,21,27,24,18,33,14,20,39,33,23,20,19,Lanawan CES,PH150713006
133089,14,17,13,15,13,7,20,15,13,15,12,6,Pisak-Pisak ES,PH150713007
133090,22,9,14,17,13,17,23,20,17,16,19,19,Saluping ES,PH150713008
133091,11,12,11,0,0,0,13,16,19,0,0,0,Suligan ES,PH150713009
133092,10,10,12,12,10,12,10,10,13,12,10,8,Sulloh ES,PH150713010
133093,24,16,7,17,10,6,12,11,13,16,3,6,Tambuligbuton ES,PH150713011
133094,6,9,7,0,0,0,4,5,5,0,0,0,Tinutungan PS,PH150713004
133095,14,19,10,9,19,4,13,14,9,6,18,6,Tongumos ES,PH150713012
133096,6,11,15,9,9,11,10,13,16,10,8,2,Babagbato ES,PH150705047
133097,24,25,26,35,34,29,29,23,22,53,30,24,Bacung ES,PH150705001
133098,16,24,22,28,27,22,24,16,20,24,20,19,Basak ES,PH150705028
133099,8,8,8,19,12,6,10,15,12,18,8,10,Cabcaban ES,PH150705007
133101,14,22,22,38,45,35,21,27,22,32,39,30,Guiong ES,PH150705010
133102,32,28,33,28,25,16,24,21,31,27,24,16,Irelley ES,PH150705019
133103,14,14,14,9,17,17,17,16,13,8,16,13,Libug ES,PH150705024
133104,16,15,17,29,27,16,18,15,20,28,27,22,Limbo Candies ES,PH150705042
133106,10,11,15,19,0,0,10,15,16,11,0,0,Lower Sumisip PS,PH150705041
133107,10,17,23,11,22,11,10,15,16,16,14,16,Lukbait ES,PH150705031
133108,34,54,55,49,30,37,40,55,55,74,45,31,Mangal ES,PH150705014
133109,6,5,8,7,4,3,10,7,9,12,7,8,Pamatsaken ES,PH150705051
133111,14,9,9,11,0,0,15,7,7,5,0,0,Sucaten PS,PH150705001
133112,10,15,22,14,23,14,21,9,14,25,15,17,Sumisip CES,PH150705019
133114,17,24,21,27,26,23,18,23,13,22,16,20,Upper Benembengan ES,PH150705035
133116,21,15,12,16,10,16,22,14,8,27,11,11,Buli-Buli ES,PH150705006
133117,35,33,19,25,24,35,38,41,27,20,21,15,Cabengbeng ES,PH150705030
133119,13,22,18,22,43,17,14,29,29,21,13,11,Etub Etub ES,PH150705039
133120,9,14,7,7,3,3,11,13,15,11,7,4,Langaray ES,PH150705013
133122,12,15,10,20,13,5,14,15,9,16,22,7,Mahatalang ES,PH150705032
133123,12,31,30,59,37,18,10,24,34,37,35,12,Manaul ES,PH150705013
133124,13,17,12,21,16,7,29,12,12,18,12,9,Marang ES,PH150705044
133125,15,22,20,16,7,8,15,19,20,7,8,5,Mebak ES,PH150705045
133126,17,7,8,11,0,0,15,23,12,24,0,0,Sangiyan PS,PH150705030
133127,12,20,17,9,10,13,19,17,32,19,12,5,Sapa Bulak ES,PH150705048
133128,24,34,50,29,31,18,31,21,40,21,20,10,Sapa Langay ES,PH150705029
133129,0,0,0,0,0,0,0,0,0,0,0,0,Subah Languyan PS,PH150705036
133130,8,7,17,25,11,13,18,17,11,17,8,5,Daingdingan ES,PH150705050
133131,16,16,13,9,21,13,23,15,11,13,12,13,Tongsengal ES,PH150705025
133132,66,50,50,94,71,68,62,61,51,84,65,68,Tumahubong CES,PH150705022
133134,24,48,27,44,51,42,27,36,38,51,35,24,Badja CES,PH150706002
133135,42,51,44,64,57,50,69,57,40,46,33,27,Banah ES,PH150706018
133136,4,9,15,11,7,7,13,13,17,13,9,4,Bangcuang ES,PH150706038
133137,41,24,21,25,23,23,42,35,29,17,23,10,Bato-Bato ES,PH150709002
133138,10,8,13,16,25,26,14,23,18,17,23,11,Bohebaca ES,PH150706003
133140,9,19,8,8,11,12,13,10,12,4,11,11,Bohebitih ES,PH150706002
133141,27,15,30,25,32,21,27,21,21,24,26,15,Bohelebbung ES,PH150706004
133142,18,8,22,13,9,6,11,21,16,14,17,14,Bohetambak ES,PH150706019
133143,10,6,0,0,0,0,8,7,0,0,0,0,Bucalao PS,PH150709004
133144,10,10,15,19,16,16,10,10,13,13,18,18,Cambug ES,PH150709005
133145,10,19,13,5,0,0,14,11,9,7,0,0,Danit ES,PH150711005
133147,14,13,18,12,8,15,20,25,12,11,13,6,Kamamboringan ES,PH150711006
133148,11,20,39,43,0,0,15,26,34,22,0,0,Kaulungan PS,PH150709016
133149,24,10,12,25,15,12,30,14,13,16,23,15,Lagayas ES,PH150706011
133150,7,5,5,10,11,4,14,8,19,11,16,3,Limbo-Upas ES,PH150706012
133151,52,54,54,44,54,39,54,59,54,51,29,28,Parangbasak CES,PH150702039
133152,20,38,32,23,16,18,41,43,28,10,13,25,Pipil ES,PH150711009
133154,48,56,50,44,50,20,54,74,71,60,55,22,Amaloy ES,PH150711001
133155,6,20,0,0,0,0,5,15,0,0,0,0,Baguindan ES,PH150706017
133157,22,15,11,19,16,15,19,30,16,11,14,17,Baunoh Peggesan ES,
133158,17,18,12,16,9,11,14,25,15,12,2,6,Bohepahuh ES,PH150711002
133159,22,15,16,17,14,0,23,19,12,19,10,0,Bohepiang ES,PH150709003
133160,12,4,1,7,0,0,14,6,2,5,0,0,Bohesuyak ES,PH150711003
133161,22,17,18,13,26,13,28,23,20,20,19,22,Cabangalan ES,PH150711004
133162,32,41,32,26,21,19,41,32,32,25,8,15,Camalig ES,PH150711002
133163,14,12,8,11,21,11,24,18,14,14,6,8,Danapah ES,PH150709006
